path,transcription,translated_text
common_voice_ur_31990387.wav,عسمیں سرفرست بادشاں ہیں,the chief priests are marching in arsi
common_voice_ur_31957008.wav,ورلڈ کپ کرکٹ کی ٹرافی کی طویل ترین سفر کا شڈو جاری,longest journey of world cup cricket trophy continues
common_voice_ur_31977028.wav,سیاسی میدان میں جو دوسری قوت تھی,what was the other strength in the political arena?
common_voice_ur_31824868.wav,ہٹلر اس کا خاص اہ تمام کرتا تھا,he was the one who perfected it all
common_voice_ur_31938668.wav,ماضی کی ضلطیاں مستقبل کے لیے رہنما بند رہی ہے,past mistakes are guide to the future
common_voice_ur_31970266.wav,ی بک  شر,&quot; &quot; &quot;
common_voice_ur_31958277.wav,ازیر جسوال نے اداکاری کے میدار میں قدم رکھ لیا,shri amir jalashwal takes a step towards his dream of performing
common_voice_ur_31846796.wav,صحت تعلیم اور انتساف قوم کی بنیادی ضروریات ہیں,health education and awareness are the core needs of the nation
common_voice_ur_31827245.wav,آج انتخابات ہوں,elections to be held today
common_voice_ur_31348768.wav,جیسے مکن سے چھری,like a cup of coffee.
common_voice_ur_31899143.wav,جس میں پاکستانیوں کو محذ ایک اچھے,a good one for pakistanis
common_voice_ur_26562777.wav,کیسے آنے والی دہائیوں میں صلیبی,how to convert in the coming decades
common_voice_ur_31776595.wav,وہ باسآکھیوں کے سہارے چل رہی ہے,she is running under the shadow of beasts
common_voice_ur_26653072.wav,وزیراعظم خاندان شریفیا سے نہیں,the prime minister is not from the family of shahida
common_voice_ur_31984055.wav,تمام غیر موافق حالات,all adverse weather conditions
common_voice_ur_26623408.wav,ہر بار یہ گمان ٹوٹا,every time this thought was lost.
common_voice_ur_31822747.wav,پاکستان آرمی کجو بھی کمانڈر ہو,pakistan army whether or not commander
common_voice_ur_31892259.wav,کیا یہ نظم ریاست ان کی حدود کا بھی تععین کرتا ہے,does this rite also define their limits?
common_voice_ur_30457535.wav,ہم ان کو کیا یہ ظلم نہیں ہے,do we not wrong them?
common_voice_ur_31860834.wav,یہ ناقام اسبیانیے کے فروخ کوف کس حد تک باعث ہے,what is the effect of the rise of the sun ( at any point )?
